Client,Project,User,2016-11-28,2016-11-29,2016-11-30,2016-12-01,2016-12-02,2016-12-03,2016-12-04,Total
,Learn Web Dev,Dblakenz,,01:15:29,03:18:15,,03:41:31,02:11:55,00:43:48,11:10:58
,,Dblakenz,,,00:00:09,,,,00:49:09,00:49:18
Total:,,,,01:15:29,03:18:24,,03:41:31,02:11:55,01:32:57,12:00:16
